"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Shen","Support",7,"38.9%","11.1%","50.0%","43%","43%",9,19,43,2.7,"69.3%","21.8%","14%",-255,-27,2.6,1.3,"2.5%",159,"6.4%","10.4%",2.03,0.49
"Sion","Top",2,"11.1%","16.7%","27.8%","0%","50%",6,5,3,1.8,"47.4%","13.5%","0%",-157,-185,-9,8.4,"25.0%",691,"30.5%","22.0%",0.55,0.11
"Sivir","-",0,"0%","27.8%","27.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Skarner","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sylas","ADC",1,"5.6%","16.7%","33.3%","0%","100%",0,3,1,0.3,"25.0%","20.0%","0%",165,1009,1,8.2,"27.4%",335,"18.8%","21.1%",0.26,0.08
"Sylas","Middle",2,"11.1%","16.7%","33.3%","50%","100%",4,5,3,1.4,"43.8%","26.3%","50%",29,558,0,8.7,"26.4%",448,"23.2%","21.1%",0.4,0.13
"Syndra","ADC",3,"16.7%","0.0%","44.4%","67%","33%",14,6,14,4.7,"62.2%","17.6%","33%",273,215,9,9.9,"27.9%",582,"25.4%","26.2%",0.48,0.16
"Syndra","Middle",5,"27.8%","0.0%","44.4%","0%","40%",7,20,17,1.2,"70.6%","23.5%","40%",67,13,-0.6,9,"25.5%",543,"29.4%","22.3%",0.47,0.19
"Taliyah","Middle",4,"22.2%","0.0%","22.2%","100%","100%",26,12,53,6.6,"65.3%","23.5%","0%",-218,-119,0.3,8.5,"24.5%",831,"25.9%","21.0%",0.44,0.15
"Tristana","Top",2,"11.1%","0.0%","11.1%","50%","100%",3,3,8,3.7,"61.1%","16.7%","50%",289,393,8,9.2,"27.4%",535,"26.2%","23.1%",0.53,0.32
"Trundle","Jungle",3,"16.7%","11.1%","27.8%","67%","33%",8,5,32,8,"67.8%","12.2%","0%",-147,79,-1.7,6.6,"18.4%",405,"16.5%","20.2%",0.27,0.58
"Twisted Fate","Top",1,"5.6%","0.0%","5.6%","100%","100%",5,2,7,6,"85.7%","25.0%","0%",937,616,17,9.5,"26.3%",551,"29.4%","27.0%",0.44,0.22
"Varus","Top",1,"5.6%","0.0%","5.6%","100%","0%",13,6,14,4.5,"73.0%","46.2%","0%",402,-33,17,8.7,"26.3%",963,"23.9%","23.1%",0.38,0.41
"Vayne","Top",2,"11.1%","38.9%","50.0%","0%","100%",5,11,6,1,"50.0%","23.4%","0%",-914,-626,-21,7.1,"21.1%",542,"21.8%","19.1%",0.54,0.18
"Vel'Koz","ADC",1,"5.6%","0.0%","5.6%","100%","100%",3,0,7,10,"58.8%","0.0%","0%",96,-23,-5,9.2,"25.2%",625,"20.2%","24.1%",0.43,0.19
"Vi","Jungle",5,"27.8%","38.9%","66.7%","80%","20%",25,10,53,7.8,"72.2%","17.5%","20%",152,204,4.4,7.3,"20.7%",481,"15.9%","21.2%",0.35,0.6
"Viktor","ADC",4,"22.2%","5.6%","33.3%","50%","75%",8,11,15,2.1,"46.9%","19.3%","0%",-156,188,1.8,9.1,"25.1%",612,"25.3%","23.5%",0.42,0.17
"Viktor","Middle",1,"5.6%","5.6%","33.3%","100%","100%",6,0,5,11,"78.6%","0.0%","0%",152,-50,-8,10.6,"31.4%",850,"35.4%","25.8%",0.41,0.15
"Wukong","Jungle",6,"33.3%","0.0%","33.3%","33%","33%",11,22,25,1.6,"57.1%","24.7%","33%",-170,-62,-2.5,7,"19.9%",405,"16.5%","19.8%",0.31,0.43
"Xayah","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","ADC",1,"5.6%","0.0%","5.6%","0%","100%",0,0,2,2,"33.3%","0.0%","0%",-361,-645,-14,9.6,"34.4%",1013,"34.4%","23.6%",0.29,0.03
"Xin Zhao","Jungle",1,"5.6%","5.6%","11.1%","0%","100%",0,3,2,0.7,"66.7%","16.7%","0%",-260,-492,-8,6.6,"22.8%",279,"13.6%","20.1%",0.19,0.23
"Yasuo","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yorick","Top",1,"5.6%","16.7%","22.2%","0%","100%",2,3,1,1,"100.0%","16.7%","0%",-31,263,-7,7.3,"19.7%",783,"38.0%","25.5%",0.43,0.19
"Ziggs","ADC",5,"27.8%","22.2%","50.0%","40%","40%",12,14,27,2.8,"67.2%","13.9%","0%",11,-193,-0.2,9.7,"30.4%",908,"34.8%","27.7%",0.46,0.14
"Zoe","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
