CODIGO5;DESCRICAO5;UN5;CODNCM5
'0000120;'TRENA C/ TRAVA 5M;UN;'90178090
'0000121;'COLA PVC 175G;UN;'35061090
'0000122;'TORQUES CARPINTEIRO 8 SAO ROMAO;UN;'82032090
'0000123;'TORQUES ARMADOR 12;UN;'82032090
'0000124;'MARTELO 25MM;UN;'82052000
'0000125;'MARTELO 27MM;UN;'82052000
'0000126;'FITA ISOLANTE 10MX19MM;UN;'90178010
'0000127;'FITA ISOLANTE 5MX19MM;UN;'90178010
'0000128;'COLA PVC 17G BISNAGA;UN;'35061090
'0000129;'ALICATE UNIVER. ISOLADO 8;UN;'82032010
'0000130;'VEDA ROSCA 18MMX25M;UN;'39209990
'0000131;'PNEU CAR CONST3 25X8;UN;'40119090
'0000132;'COMEDOURO AVES 10KG;UN;'84362900
'0000133;'COMEDOURO AVES 5KG;UN;'84362900
'0000134;'COMEDOURO AVES 3KG;UN;'84362900
'0000135;'CAP SOLD 20MM;UN;'84248221
'0000136;'CAP SOLD 32MM;UN;'39174090
'0000137;'JOELHO SOLD 25MM;UN;'39174090
'0000138;'TE 90 SOLD 32MM;UN;'84248221
'0000139;'CAP SOLD 25MM;UN;'39174090
'0000140;'JOELHO 25 X 1/2 LR;UN;'39174090
'0000141;'JOELHO SOLD 32MM;UN;'39174090
'0000142;'JOELHO SOLD 20MM;UN;'39174090
'0000143;'TE 90 SOLD 20MM;UN;'84248221
'0000144;'TE 90 SOLD 25MM;UN;'84248221
'0000145;'LUVA 20X1/2 LR;UN;'84248221
'0000146;'LUVA SOLD 20MM;UN;'39174090
'0000147;'LUVA SOLD 25MM;UN;'84248221
'0000148;'LUVA ROSCA 1;UN;'39174090
'0000149;'NIPLE ROSCA 1;UN;'84248221
'0000150;'CAP ROSCA 1;UN;'39174090
'0000151;'CAP ROSCA 3/4;UN;'39174090
'0000152;'LUVA ROSCA 1/2;UN;'39174090
'0000153;'LUVA ROSCA 3/4;UN;'84248221
'0000154;'NIPLE ROSCA 1/2;UN;'39174090
'0000155;'PLUG ROSCA 1/2;UN;'39174090
'0000156;'PLUG ROSCA 3/4;UN;'39174090
'0000157;'NIPLE ROSCA3/4;UN;'39174090
'0000158;'JOELHO DUPLO 1/2;UN;'39174090
'0000159;'TE IRRIGACAO TRIPLO 1/2;UN;'39174090
'0000160;'TE IRRIGACAO TRIPLO 3/4;UN;'39174090
'0000161;'UNIAO IRRIGACAO RED 3/4X1/2;UN;'84248229
'0000162;'ADAP. IRRIGACAO ROSCA EXT. 3/4;UN;'39174090
'0000163;'ADAP. IRRIGACAO ROSCA EXT. 1;UN;'39174090
'0000164;'UNIAO IRRIGACAO 1/2;UN;'84248229
'0000165;'UNIAO IRRIGACAO 3/4;UN;'84248229
'0000166;'JOELHO IRRIGA. 1;UN;'84248221
'0000167;'UNIAO IRRIGACAO RED. 1X3/4;UN;'84248229
'0000168;'JOELHO DUPLO 1;UN;'84248221
'0000169;'TE IRRIGACAO INT.3/4;UN;'84248221
'0000170;'CLIPS CABO ACO 3/8 = 9 5MM;UN;'73269090
'0000171;'CLIPS CABO ACO 5/16=8MM;UN;'73269090
'0000172;'REGISTRO ESFERA ROSC 3/4;UN;'84818095
'0000173;'REGISTRO ESFERA SOLD 20MM;UN;'84248221
'0000174;'REGISTRO ESFERA SOLD 25MM;UN;'84818095
'0000175;'REGISTRO ESFERA ROSC 1/2;UN;'84248221
'0000176;'ARAME GALVANIZADO 14 1KG;RL;'72172090
'0000177;'ARAME GALVANIZADO 16 1KG;RL;'72172090
'0000178;PA BICO C/ CABO;UN;'82011000
'0000179;PA QUADRADA C/ CABO;UN;'82011000
'0000180;'CAVADEIRA COM CABO 180 CM;UN;'82019000
'0000181;'CAVADEIRA 1 40M;UN;'82019000
'0000182;VASSOURA GRAMA ARAM.;UN;'82013000
'0000183;'ARAME RECOZIDO 16 1KG;UN;'72171090
'0000184;'JOELHO IRRIGA.1/2;UN;'84248221
'0000185;'COLOSSO PULV 250 ML;UN;'38089192
'0000186;'TRISSULFIN 100G;UN;'30049072
'0000187;'CORTA CURSO 50ML;UN;'30042099
'0000188;'OUROTETRA PLUS LA 50ML;UN;'30042099
'0000189;'DICLOFENACO 50 50ML;FR;'30049099
'0000190;'COLOSSO SPRAY 475ML;UN;'30049099
'0000191;'CORTIFLAN 50 ML;UN;'30043210
'0000192;'CORTIFLAN 10ML;UN;'30049099
'0000193;'COLOSSO PULV 100ML;UN;'38089192
'0000194;'PIROFORT 30ML;FR;'30041019
'0000195;'COLOSSO POUR ON 1LT;UN;'38089192
'0000196;'COLOSSO POUR ON 2L;UN;'38089192
'0000197;'COLOSSO PULV 1L;UN;'38089192
'0000198;'FLUATAC DUO 5L;UN;'38089993
'0000199;'AGUA SANITARIA 50L;UN;'28289011
'0000200;'AGUA SANITARIA 5L;UN;'28289011
'0000201;APLICADOR POS DIPPING;UN;'82019000
'0000202;'CERA ACRILICA 5L;UN;'34049029
'0000203;'MARBOX  50ML;FR;'30049079
'0000204;'TEE RED IRRIGA 50X25 AZUL;MT;'84248221
'0000205;'FIBRA TININDO3M;UN;'68053090
'0000206;'FORMOL ESTABILIZADO 37% 5L;UN;'29121100
'0000207;'FORMOL ESTABILIZADO 37% 20L;UN;'29121100
'0000208;'LAT 200 5L;UN;'38249941
'0000209;'LAT 200 20L;UN;'38249941
'0000210;'LAT 300 5L;UN;'38249941
'0000211;'LAT 300 20L;UN;'38249941
'0000212;'LAT 300 50L;UN;'38249941
'0000213;'LAT HIDRO 20L;UN;'38249941
'0000214;'LAT HIDRO 50L;UN;'38249941
'0000215;'LAT HIDRO 5L;UN;'38249941
'0000216;'LAT POS 20L;UN;'34029039
'0000217;'LAT POS 50L;UN;'34029039
'0000218;'LAT POS 5L;UN;'34029039
'0000219;'LAT PRE 20L;UN;'34029039
'0000220;'LAT PRE 50L;UN;'34029039
'0000221;'LAT PRE 5L;UN;'34029039
'0000222;'RILEXINE 150  INJETAVEL 250ML;FR;'30042052
'0000223;PANO ALVEJADO;UN;'63071000
'0000224;PANO PARA  QUEIJO;UN;'60053700
'0000225;'SH QUALIMILK DETERGENTE 20L;UN;'34029039
'0000226;'SH QUALIMILK 50L DETERGENTE;UN;'34029039
'0000227;'SH QUALIMILK 5L DETERGENTE;UN;'68042211
'0000228;'IODO 1000 20L;UN;'28012090
'0000229;'IODO 1000 5L;UN;'28012090
'0000230;SULFATO DE COBRE;SC;'31049090
'0000231;'AGRODEL PLUS 15ML;UN;'30041019
'0000232;'COMBO POUR ON 5LT;UN;'38089192
'0000233;'HERTAVITA 500ML;UN;'30045090
'0000234;'NGF-5 100GR;UN;'30049024
'0000235;'OXITAPE L.A 50ML;UN;'30042099
'0000236;'PARTOMICINA 20ML;UN;'30041019
'0000237;'ROBORANTE 100ML;UN;'30045090
'0000238;'ROBORANTE 250ML;UN;'30045090
'0000240;MASTIPLAN LC INJ;FR;'30042099
'0000241;'GENTATEC 100 ML;FR;'30042061
'0000242;'TROCATER DIAM 10MM COMP 15CM;UN;'90189099
'0000244;DETERGENTE NEUTRO;UN;'34029039
'0000246;'FORMOPED  400ML;UN;'30049099
'0000247;'BOMBA  ANAUGER 800 125V;UN;'84138100
'0000248;'ALICATE PRESS√O 10;UN;'82032010
'0000249;'BOMBA  ANAUGER 800 220V;UN;'84138100
'0000250;'BOMBA  ANAUGER 900 125V;UN;'84138100
'0000251;'BOMBA  ANAUGER 900 220V;UN;'84138100
'0000252;'ANTAHI ALM. IND. DE PLAST  4LT E 1 SONDA;UN;'73261900
'0000253;BICO MILK BAR AMARELO;UN;'84369900
'0000254;'ESTICADOR P/ CABO ACO 1 24MM;UN;'73269090
'0000255;'ORDEMOVEL COM 2 CJTOS 2 TARROS;UN;'84341000
'0000257;'ESTICADOR P/ CABO ACO 5/8 16MM;UN;'73269090
'0000259;'RACAO CAPULL PEL 22% 40KG;UN;'23099010
'0000260;'RACAO CAPULL BEZ. IN. P 20% 40KG;UN;'23099010
'0000261;'RACAO CAPULL PRE-PARTO 40KG;UN;'23099010
'0000262;'SUPL MI. QUELAPHOS MILK 90 25KG;UN;'23099010
'0000263;'SUPL MIN. CAPULP. LEITE 25KG;UN;'23099010
'0000264;'SUPL. MIN. CAPULP. PASTO 25KG;UN;'23099010
